"","word_target","word","relation","n"
"536","Gaspode","blinked","nsubj",1
"537","Gaspode","brightened","nsubj",1
"538","Gaspode","eyed","nsubj",1
"539","Gaspode","found","nsubj",1
"540","Gaspode","got","nsubj",1
"541","Gaspode","growled","nsubj",1
"542","Gaspode","holding","nsubj",1
"543","Gaspode","in","nsubj",1
"544","Gaspode","landed","nsubj",1
"545","Gaspode","limp","nsubj",1
"546","Gaspode","moved","nsubj",1
"547","Gaspode","prompted","nsubj",1
"548","Gaspode","ran","nsubj",1
"549","Gaspode","relaxed","nsubj",1
"550","Gaspode","sat","nsubj",1
"551","Gaspode","seemed","nsubj",1
"552","Gaspode","shot","nsubj",1
"553","Gaspode","sighed","nsubj",1
"554","Gaspode","smelled","nsubj",1
"555","Gaspode","snapped","nsubj",1
"556","Gaspode","speak","nsubj",1
"557","Gaspode","stopped","nsubj",1
"558","Gaspode","stuck","nsubj",1
"559","Gaspode","swung","nsubj",1
"560","Gaspode","thought","nsubj",1
"561","Gaspode","toiled","nsubj",1
"562","Gaspode","took","nsubj",1
"563","Gaspode","trembling","nsubj",1
"564","Gaspode","tried","nsubj",1
"565","Gaspode","trotted","nsubj",1
"566","Gaspode","wagged","nsubj",1
"567","Gaspode","whimpering","nsubj",1
"568","Gaspode","wrinkled","nsubj",1
"569","Nobby","admitted","nsubj",1
"570","Nobby","appear","nsubj",1
"571","Nobby","approved","nsubj",1
"572","Nobby","asked","nsubj",1
"573","Nobby","brightened","nsubj",1
"574","Nobby","bumped","nsubj",1
"575","Nobby","contemplated","nsubj",1
"576","Nobby","counted","nsubj",1
"577","Nobby","did","nsubj",1
"578","Nobby","feeling","nsubj",1
"579","Nobby","felt","nsubj",1
"580","Nobby","fidgeted","nsubj",1
"581","Nobby","floundered","nsubj",1
"582","Nobby","flung","nsubj",1
"583","Nobby","getting","nsubj",1
"584","Nobby","grinned","nsubj",1
"585","Nobby","hidden","nsubj",1
"586","Nobby","hissed","nsubj",1
"587","Nobby","kept","nsubj",1
"588","Nobby","knocked","nsubj",1
"589","Nobby","looking","nsubj",1
"590","Nobby","made","nsubj",1
"591","Nobby","nudged","nsubj",1
"592","Nobby","peered","nsubj",1
"593","Nobby","pointed","nsubj",1
"594","Nobby","pushed","nsubj",1
"595","Nobby","revolving","nsubj",1
"596","Nobby","rusted","nsubj",1
"597","Nobby","scrounged","nsubj",1
"598","Nobby","shambled","nsubj",1
"599","Nobby","shifted","nsubj",1
"600","Nobby","shown","nsubj",1
"601","Nobby","shrugged","nsubj",1
"602","Nobby","sighed","nsubj",1
"603","Nobby","snapped","nsubj",1
"604","Nobby","spinning","nsubj",1
"605","Nobby","spun","nsubj",1
"606","Nobby","stamped","nsubj",1
"607","Nobby","started","nsubj",1
"608","Nobby","strained","nsubj",1
"609","Nobby","struck","nsubj",1
"610","Nobby","stuff","nsubj",1
"611","Nobby","survived","nsubj",1
"612","Nobby","swaggered","nsubj",1
"613","Nobby","thought","nsubj",1
"614","Nobby","thrust","nsubj",1
"615","Nobby","took","nsubj",1
"616","Nobby","tried","nsubj",1
"617","Nobby","trust","nsubj",1
"618","Nobby","Tut","nsubj",1
"619","Nobby","unbuckled","nsubj",1
"620","Nobby","uncorked","nsubj",1
"621","Nobby","understand","nsubj",1
"622","Nobby","used","nsubj",1
"623","Nobby","worry","nsubj",1
"624","Vimes","\'s","nsubj",1
"625","Vimes","achieved","nsubj",1
"626","Vimes","acknowledged","nsubj",1
"627","Vimes","adjusted","nsubj",1
"628","Vimes","appeared","nsubj",1
"629","Vimes","approved","nsubj",1
"630","Vimes","arrest","nsubj",1
"631","Vimes","asked","nsubj",1
"632","Vimes","assumed","nsubj",1
"633","Vimes","ate","nsubj",1
"634","Vimes","attended","nsubj",1
"635","Vimes","awoke","nsubj",1
"636","Vimes","bathed","nsubj",1
"637","Vimes","became","nsubj",1
"638","Vimes","become","nsubj",1
"639","Vimes","began.\'Oh","nsubj",1
